,NAME,Summary,DrugBank Accession Number,Background,Groups,Weight,Indication,CancerType
10,BMS-536924 1/2,,,,,,,
11,BMS-536924 2/2,,,,,,,
12,CHIR-99021 1/2,,,,,,,
13,CHIR-99021 2/2,,,,,,,
14,GSK269962A 1/2,,,,,,,
15,GSK269962A 2/2,,,,,,,
16,JQ1 1/2,,,,,,,
17,JQ1 2/2,,,,,,,
18,Olaparib 1/2,"Olaparib is a poly (ADP-ribose) polymerase (PARP) inhibitor used to treat ovarian cancer, breast cancer, pancreatic cancer, and prostate cancer.",DB09074,"Olaparib is a selective and potent inhibitor of poly (ADP-ribose) polymerase (PARP) enzymes, PARP1 and PARP2.8,9 PARP inhibitors represent a novel class of anti-cancer therapy and they work by taking advantage of a defect in DNA repair in cancer cells with BRCA mutations and inducing cell death.4 
Olaparib is used to treat a number of BRCA-associated tumours, including ovarian cancer, breast cancer, pancreatic cancer, and prostate cancer.8,9 It was first approved by the FDA and EU in December 2014.5
",Approved,434.4628,"Ovarian cancer
Olaparib is indicated for the maintenance treatment of adults with deleterious or suspected deleterious germline or somatic BRCA-mutated advanced epithelial ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy.8
Olaparib is indicated in combination with bevacizumab for the maintenance treatment of adults with advanced epithelial ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy and whose cancer is associated with homologous recombination deficiency (HRD)-positive status defined by either: a deleterious or suspected deleterious BRCA mutation, and/or genomic instability.8
Olaparib is indicated for the maintenance treatment of adult patients with recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer, who are in complete or partial response to platinum-based chemotherapy.8
Olaparib is indicated for the treatment of adult patients with deleterious or suspected deleterious germline BRCA-mutated (gBRCAm) advanced ovarian cancer who have been treated with three or more prior lines of chemotherapy.8,9
Breast cancer
Olaparib is indicated for the adjuvant treatment of adult patients with deleterious or suspected deleterious gBRCAm human epidermal growth factor receptor 2 (HER2)-negative high risk early breast cancer who have been treated with neoadjuvant or adjuvant chemotherapy.8
Olaparib is indicated for the treatment of adult patients with deleterious or suspected deleterious gBRCAm, HER2-negative metastatic breast cancer, who have been treated with chemotherapy in the neoadjuvant, adjuvant, or metastatic setting. Patients with hormone receptor (HR) positive breast cancer should have been treated with a prior endocrine therapy or be considered inappropriate for endocrine therapy.8
Pancreatic cancer
Olaparib is indicated for the maintenance treatment of adult patients with deleterious or suspected deleterious gBRCAm metastatic pancreatic adenocarcinoma whose disease has not progressed on at least 16 weeks of a first-line platinum-based chemotherapy regimen.8
Prostate cancer
Olaparib is indicated for the treatment of adult patients with deleterious or suspected deleterious germline or somatic homologous recombination repair (HRR) gene-mutated metastatic castration-resistant prostate cancer (mCRPC) who have progressed following prior treatment with enzalutamide or abiraterone.8
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","PANCREAS, OVARY, BREAST, PROSTATE"
19,Olaparib 2/2,"Olaparib is a poly (ADP-ribose) polymerase (PARP) inhibitor used to treat ovarian cancer, breast cancer, pancreatic cancer, and prostate cancer.",DB09074,"Olaparib is a selective and potent inhibitor of poly (ADP-ribose) polymerase (PARP) enzymes, PARP1 and PARP2.8,9 PARP inhibitors represent a novel class of anti-cancer therapy and they work by taking advantage of a defect in DNA repair in cancer cells with BRCA mutations and inducing cell death.4 
Olaparib is used to treat a number of BRCA-associated tumours, including ovarian cancer, breast cancer, pancreatic cancer, and prostate cancer.8,9 It was first approved by the FDA and EU in December 2014.5
",Approved,434.4628,"Ovarian cancer
Olaparib is indicated for the maintenance treatment of adults with deleterious or suspected deleterious germline or somatic BRCA-mutated advanced epithelial ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy.8
Olaparib is indicated in combination with bevacizumab for the maintenance treatment of adults with advanced epithelial ovarian, fallopian tube or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy and whose cancer is associated with homologous recombination deficiency (HRD)-positive status defined by either: a deleterious or suspected deleterious BRCA mutation, and/or genomic instability.8
Olaparib is indicated for the maintenance treatment of adult patients with recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer, who are in complete or partial response to platinum-based chemotherapy.8
Olaparib is indicated for the treatment of adult patients with deleterious or suspected deleterious germline BRCA-mutated (gBRCAm) advanced ovarian cancer who have been treated with three or more prior lines of chemotherapy.8,9
Breast cancer
Olaparib is indicated for the adjuvant treatment of adult patients with deleterious or suspected deleterious gBRCAm human epidermal growth factor receptor 2 (HER2)-negative high risk early breast cancer who have been treated with neoadjuvant or adjuvant chemotherapy.8
Olaparib is indicated for the treatment of adult patients with deleterious or suspected deleterious gBRCAm, HER2-negative metastatic breast cancer, who have been treated with chemotherapy in the neoadjuvant, adjuvant, or metastatic setting. Patients with hormone receptor (HR) positive breast cancer should have been treated with a prior endocrine therapy or be considered inappropriate for endocrine therapy.8
Pancreatic cancer
Olaparib is indicated for the maintenance treatment of adult patients with deleterious or suspected deleterious gBRCAm metastatic pancreatic adenocarcinoma whose disease has not progressed on at least 16 weeks of a first-line platinum-based chemotherapy regimen.8
Prostate cancer
Olaparib is indicated for the treatment of adult patients with deleterious or suspected deleterious germline or somatic homologous recombination repair (HRR) gene-mutated metastatic castration-resistant prostate cancer (mCRPC) who have progressed following prior treatment with enzalutamide or abiraterone.8
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","PANCREAS, OVARY, BREAST, PROSTATE"
20,Pictilisib 1/2,,DB11663,"Pictilisib has been used in trials studying the treatment of Solid Cancers, Breast Cancer, Advanced Solid Tumours, Metastatic Breast Cancer, and Non-Hodgkin's Lymphoma, Solid Cancers, among others.
",Investigational,513.636,Not Available,BREAST
21,Pictilisib 2/2,,DB11663,"Pictilisib has been used in trials studying the treatment of Solid Cancers, Breast Cancer, Advanced Solid Tumours, Metastatic Breast Cancer, and Non-Hodgkin's Lymphoma, Solid Cancers, among others.
",Investigational,513.636,Not Available,BREAST
22,PLX-4720 1/2,,DB06999,Not Available,Experimental,413.826,Not Available,
23,PLX-4720 2/2,,DB06999,Not Available,Experimental,413.826,Not Available,
24,Refametinib 1/2,,DB06309,Not Available,Investigational,572.337,"Investigated for use/treatment in cancer/tumors (unspecified).
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",
25,Refametinib 2/2,,DB06309,Not Available,Investigational,572.337,"Investigated for use/treatment in cancer/tumors (unspecified).
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",
26,Selumetinib 1/2,"Selumetinib is a MEK 1/2 inhibitor used in pediatric patients to treat neurofibromatosis type 1 (NF1) accompanied by symptomatic, inoperable plexiform neurofibromas (PN).",DB11689,"Activation of the Raf-MEK-ERK signaling pathway is known to be implemented in several types of malignancies, thus, mitogen-activated protein kinase kinase (MEK) inhibitors such as selumetinib are important tools that can target the problematic overactivity of this pathway.6
Results from clinical trials investigating earlier developed MEK inhibitors were underwhelming.6 However, selumetinib demonstrated impressive efficacy and tolerability in Phase I trials, leading to its continued investigation for the treatment of various types of tumors in Phase II trials.6
Currently, the novel MEK 1 / 2 inhibitor, selumetinib, is approved solely for the treatment of Neurofibromatosis type 1 (NF-1) in a limited age group. NF-1 is considered rare with an estimated incidence of 1/3000 individuals.5 It is a genetic, autosomal dominant condition resulting from mutations of the NF1 gene, which can lead to various complications including the development of multiple tumors in the nervous system.3,5 Some patients with this disorder develop plexiform neurofibromas (PN); however, this is considered to be relatively uncommon compared to other variants of NF-1.5 Luckily, the use of selumetinib in patients with NF-1 has shown efficacy in shrinking associated tumors and is linked to other positive clinical outcomes.3
","Approved, Investigational",457.68,"Although selumetinib has been investigated for the treatment of several types of cancer, it is currently only indicated for the treatment of neurofibromatosis type 1 (NF1) in patients ≥2 years who have symptomatic, inoperable plexiform neurofibromas (PN).6,13,14
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",CENTRAL_NERVOUS_SYSTEM
27,Selumetinib 2/2,"Selumetinib is a MEK 1/2 inhibitor used in pediatric patients to treat neurofibromatosis type 1 (NF1) accompanied by symptomatic, inoperable plexiform neurofibromas (PN).",DB11689,"Activation of the Raf-MEK-ERK signaling pathway is known to be implemented in several types of malignancies, thus, mitogen-activated protein kinase kinase (MEK) inhibitors such as selumetinib are important tools that can target the problematic overactivity of this pathway.6
Results from clinical trials investigating earlier developed MEK inhibitors were underwhelming.6 However, selumetinib demonstrated impressive efficacy and tolerability in Phase I trials, leading to its continued investigation for the treatment of various types of tumors in Phase II trials.6
Currently, the novel MEK 1 / 2 inhibitor, selumetinib, is approved solely for the treatment of Neurofibromatosis type 1 (NF-1) in a limited age group. NF-1 is considered rare with an estimated incidence of 1/3000 individuals.5 It is a genetic, autosomal dominant condition resulting from mutations of the NF1 gene, which can lead to various complications including the development of multiple tumors in the nervous system.3,5 Some patients with this disorder develop plexiform neurofibromas (PN); however, this is considered to be relatively uncommon compared to other variants of NF-1.5 Luckily, the use of selumetinib in patients with NF-1 has shown efficacy in shrinking associated tumors and is linked to other positive clinical outcomes.3
","Approved, Investigational",457.68,"Although selumetinib has been investigated for the treatment of several types of cancer, it is currently only indicated for the treatment of neurofibromatosis type 1 (NF1) in patients ≥2 years who have symptomatic, inoperable plexiform neurofibromas (PN).6,13,14
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",CENTRAL_NERVOUS_SYSTEM
28,UNC0638 1/2,,,,,,,
29,UNC0638 2/2,,,,,,,
30,(5Z)-7-Oxozeaenol,,,,,,,
31,5-Fluorouracil,"Fluorouracil is a pyrimidine analog used to treat basal cell carcinomas, and as an injection in palliative cancer treatment.",DB00544,"A pyrimidine analog that is an antineoplastic antimetabolite. It interferes with DNA synthesis by blocking the thymidylate synthetase conversion of deoxyuridylic acid to thymidylic acid.
",Approved,130.0772,"For the topical treatment of multiple actinic or solar keratoses. In the 5% strength it is also useful in the treatment of superficial basal cell carcinomas when conventional methods are impractical, such as with multiple lesions or difficult treatment sites. Fluorouracil injection is indicated in the palliative management of some types of cancer, including colon, esophageal, gastric, rectum, breast, biliary tract, stomach, head and neck, cervical, pancreas, renal cell, and carcinoid.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","PANCREAS, STOMACH, BILIARY_TRACT, BREAST, KIDNEY"
32,A-443654,,,,,,,
33,A-770041,,,,,,,
34,AICA Ribonucleotide,,DB06143,Not Available,Investigational,126.119,"Investigated for use/treatment in allergic rhinitis and pediatric indications.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",
35,Alectinib,Alectinib is a kinase inhibitor used to treat anaplastic lymphoma kinase positive metastatic non small cell lung cancer.,DB11363,"Alectinib is a second generation oral drug that selectively inhibits the activity of anaplastic lymphoma kinase (ALK) tyrosine kinase. It is specifically used in the treatment of non-small cell lung cancer (NSCLC) expressing the ALK-EML4 (echinoderm microtubule-associated protein-like 4) fusion protein that causes proliferation of NSCLC cells. Inhibition of ALK prevents phosphorylation and subsequent downstream activation of STAT3 and AKT resulting in reduced tumour cell viability. 
Approved under accelerated approval in 2015, alectinib is indicated for use in patients who have progressed on or were not tolerant of crizotinib, which is associated with the development of resistance.
","Approved, Investigational",482.6166,"Alectinib is a kinase inhibitor indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib. This indication is approved under accelerated approval based on tumor response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",LUNG
36,Amuvatinib,,DB12742,"Amuvatinib has been used in trials studying the treatment of Solid Tumors and Small Cell Lung Carcinoma. Amuvatinib is an oral, selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvatinib also suppresses Rad51 protein, a critical component of double-stranded DNA repair in cancer cells.
",Investigational,447.51,"Amuvatinib is a selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvatinib also suppresses Rad51 protein, a critical component of double-stranded DNA repair in cancer cells.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",LUNG
37,AR-42,,DB12707,"AR-42 has been used in trials studying the treatment of Meningioma, Acoustic Neuroma, Testicular Lymphoma, Intraocular Lymphoma, and Vestibular Schwannoma, among others.
",Investigational,312.369,Not Available,
38,AS601245,,,,,,,
39,AS605240,,,,,,,
40,AT-7519,,DB08142,"AT7519 is a selective inhibitor of certain Cyclin Dependent Kinases (CDKs) leading to tumour regression. It is developed by Astex for the treatment of solid tumours and haematological malignancies.
",Investigational,382.244,"Investigated for use/treatment in leukemia (unspecified), lymphoma (unspecified), myelodysplastic syndrome, and solid tumors.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",BONE
41,Axitinib,Axitinib is an oral VEGFR and kinase inhibitor used for the treatment of advanced renal cell carcinoma after failure of one prior systemic therapy.,DB06626,"Axitinib is a second generation tyrosine kinase inhibitor that works by selectively inhibiting vascular endothelial growth factor receptors (VEGFR-1, VEGFR-2, VEGFR-3).7 Through this mechanism of action, axitinib blocks angiogenesis, tumour growth and metastases. It is reported to exhibit potency that is 50-450 times higher than that of the first generation VEGFR inhibitors.7 Axitinib is an indazole derivative.6 It is most commonly marketed under the name Inlyta® and is available in oral formulations.
","Approved, Investigational",386.47,"Used in kidney cell cancer and investigated for use/treatment in pancreatic and thyroid cancer.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","PANCREAS, THYROID, KIDNEY"
42,AZ628,,,,,,,
43,AZD7762,,DB12242,"AZD7762 has been investigated for the treatment of Cancer, Solid Tumors, and Advanced Solid Malignancies.
",Investigational,362.422,Not Available,
44,AZD8055,,DB12774,"AZD8055 has been used in trials studying the treatment of Cancer, Lymphomas, Solid Tumors, MALIGNANT GLIOMA, and brainstem glioma, among others.
",Investigational,465.554,Not Available,
45,BAY-61-3606,,,,,,,
46,Belinostat,Belinostat is a histone deacetylase (HDAC) inhibitor used for the treatment of patients with relapsed or refractory peripheral T-cell lymphoma (PTCL).,DB05015,"Belinostat is a novel agent that inhibits the enzyme histone deacetylase (HDAC) with a sulfonamide-hydroxamide structure. It was developed as an orphan drug to target hematological malignancies and solid tumors by TopoTarget. The safety and efficacy of belinostat is currently being evaluated for use in combination with traditional front-line therapies for the treatment of PTCL. Intravenous administration of the agent is available as Beleodaq as monotherapy and the dosing regimen involves a 21-day cycle. It was US-approved in July 2014 as a therapeutic agent for relapsed or refractory peripheral T-cell lymphoma.
","Approved, Investigational",318.35,"Belinostat is indicated for the treatment of patients with relapsed or refractory peripheral T-cell lymphoma (PTCL) with manageable safety profile. It is a potential alternative therapy for patients who did not experience adequate response to first-line drugs for PTCL. It can be used in patients with baseline thrombocytopenia 2. 
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",
47,Bexarotene,Bexarotene is a retinoid drug used for cutaneous manifestations of T-cell lymphoma in patients who have not responded well to previous systemic therapy.,DB00307,"Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma.
","Approved, Investigational",348.4779,"Used orally for the treatment of skin manifestations of cutaneous T-cell lymphoma (CTCL) in patients who are refractory to at least one prior systemic therapy. Also used topically for the treatment of skin lesions in early (stage IA and IB) CTCL in patients who experience refractory or persistent disease with the use of other therapies or are intolerant of other therapies.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, SKIN, BREAST"
48,BI-2536,,DB16107,"BI 2536 is under investigation in clinical trial NCT00376623 (Efficacy and Safety of BI 2536 in Advanced or Metastatic Non Small Cell Lung Cancer).
",Investigational,521.666,Not Available,LUNG
49,BIX02189,,,,,,,
50,Bleomycin,"Bleomycin is a chemotherapy agent used to treat various malignancies, including head and neck malignancy, lymphoma, and testicular tumors, among others.",DB00290,"A complex of related glycopeptide antibiotics from Streptomyces verticillus consisting of bleomycin A2 and B2 (B2 CAS # 9060-10-0). It inhibits DNA metabolism and is used as an antineoplastic, especially for solid tumors. Bleomycin A2 is used as the representative structure for Bleomycin.
","Approved, Investigational",1415.552,"For palliative treatment in the management malignant neoplasm (trachea, bronchus, lung), squamous cell carcinoma, and lymphomas.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",
51,Bleomycin (50 uM),,,,,,,
52,BMS-345541,,,,,,,
53,BMS-509744,,,,,,,
54,BMS-754807,,DB15399,"BMS-754807 is under investigation in clinical trial NCT00908024 (Combination Study of BMS-754807 and Erbitux® in Subjects With Advanced or Metastatic Solid Tumors).
",Investigational,461.4948,Not Available,
55,Bortezomib,Bortezomib is a proteasome inhibitor used to treat multiple myeloma in patients who have not been successfully treated with at least two previous therapies.,DB00188,"Bortezomib is a dipeptide boronic acid derivative and proteasome inhibitor used to treat multiple myeloma and mantle cell lymphoma.4 The 26S proteasome is a protein complex that degrades ubiquitinated proteins in the ubiquitin-proteasome pathway: reversible inhibition of the 26S proteasome, leading to cell cycle arrest and apoptosis of cancer cells, is thought to be the main mechanism of action of bortezomib.10 However, multiple mechanisms may be involved in the anticancer activity of bortezomib.4
Bortezomib was first synthesized in 1995.4 In May 2003, bortezomib became the first anticancer proteasome inhibitor that was approved by the FDA under the trade name VELCADE.5 Phase I, II, III, and IV clinical trials are undergoing to investigate the therapeutic efficacy of bortezomib in leukemia, myasthenia gravis, systemic lupus erythematosus, rheumatoid arthritis, and solid tumours.6
","Approved, Investigational",384.237,"Bortezomib is indicated for the treatment of adult patients with multiple myeloma or mantle cell lymphoma.7
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",BONE
56,Bosutinib,"Bosutinib is an antineoplastic agent used for the treatment of chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) in adults with inadequate clinical response to other treatments.",DB06616,"Bosutinib is a Bcr-Abl kinase inhibitor for the treatment of Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML). Compared to other tyrosine kinase inhibitors, it has a more favourable hematologic toxicity profile. FDA approved on September 4, 2012.
",Approved,530.446,"Treatment of chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) with resistance or intolerance to prior therapy in adult patients. 
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",BONE
57,Bryostatin 1,,,,,,,
58,BX-912,,,,,,,
59,BX795,,,,,,,
60,Cabozantinib,"Cabozantinib is a tyrosine kinase inhibitor used to treat advanced renal cell carcinoma, hepatocellular carcinoma, and medullary thyroid cancer.",DB08875,"Cabozantinib was first approved in 2012 and is a non-specific tyrosine kinase inhibitor. It was initially approved in the US under the brand name Cometriq, which is indicated for the treatment of metastatic medullary thyroid cancer.6 In 2016, a capsule formulation (Cabometyx) was approved for the treatment of advanced renal cell carcinoma, and this same formulation gained additional approval in both the US and Canada in 2019 for the treatment of hepatocellular carcinoma in previously treated patients.7,8
","Approved, Investigational",501.514,"Cabozantinib is indicated for the treatment of progressive, metastatic medullary thyroid cancer.6 It is also indicated for the treatment of advanced renal cell carcinoma and for hepatocellular carcinoma in patients previously treated with sorafenib.7,8
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","THYROID, KIDNEY"
61,CAY10603,,,,,,,
62,CCT-018159,,DB07594,Not Available,Experimental,352.3838,Not Available,
63,CCT007093,,,,,,,
